dong,school_count,subway_count,avg_price,school_score,subway_score,price_score
등촌제3동,15,0,0,68.18,0.0,0.0
화곡제1동,5,3,0,22.73,23.08,0.0
화곡제2동,7,3,0,31.82,23.08,0.0
화곡제3동,11,2,0,50.0,15.38,0.0
화곡제4동,9,0,0,40.91,0.0,0.0
화곡본동,8,1,0,36.36,7.69,0.0
화곡제6동,11,0,0,50.0,0.0,0.0
화곡제8동,8,2,0,36.36,15.38,0.0
가양제1동,1,0,0,4.55,0.0,0.0
가양제2동,11,0,0,50.0,0.0,0.0
가양제3동,9,0,0,40.91,0.0,0.0
발산제1동,18,1,0,81.82,7.69,0.0
우장산동,11,1,0,50.0,7.69,0.0
공항동,0,1,0,0.0,7.69,0.0
방화제1동,11,1,0,50.0,7.69,0.0
방화제2동,3,0,0,13.64,0.0,0.0
방화제3동,7,1,0,31.82,7.69,0.0
신도림동,7,2,80100,31.82,15.38,74.57
구로제1동,6,0,0,27.27,0.0,0.0
구로제2동,8,0,0,36.36,0.0,0.0
구로제3동,6,4,0,27.27,30.77,0.0
구로제4동,12,3,0,54.55,23.08,0.0
구로제5동,10,1,0,45.45,7.69,0.0
가리봉동,5,2,43250,22.73,15.38,100.0
고척제1동,10,0,0,45.45,0.0,0.0
고척제2동,14,0,0,63.64,0.0,0.0
개봉제1동,9,0,0,40.91,0.0,0.0
개봉제2동,8,0,0,36.36,0.0,0.0
개봉제3동,6,1,0,27.27,7.69,0.0
오류제1동,6,0,0,27.27,0.0,0.0
오류제2동,7,1,0,31.82,7.69,0.0
수궁동,9,1,0,40.91,7.69,0.0
가산동,2,1,54833,9.09,7.69,92.01
독산제1동,8,0,0,36.36,0.0,0.0
독산제2동,7,0,0,31.82,0.0,0.0
독산제3동,10,0,0,45.45,0.0,0.0
독산제4동,11,0,0,50.0,0.0,0.0
시흥제1동,9,0,0,40.91,0.0,0.0
시흥제2동,7,0,0,31.82,0.0,0.0
시흥제3동,6,0,0,27.27,0.0,0.0
시흥제4동,6,0,0,27.27,0.0,0.0
시흥제5동,12,0,0,54.55,0.0,0.0
영등포본동,8,1,0,36.36,7.69,0.0
영등포동,4,2,87400,18.18,15.38,69.53
여의동,6,2,0,27.27,15.38,0.0
당산제1동,7,5,0,31.82,38.46,0.0
당산제2동,9,1,0,40.91,7.69,0.0
도림동,7,1,0,31.82,7.69,0.0
문래동,9,4,0,40.91,30.77,0.0
양평제1동,7,3,0,31.82,23.08,0.0
